,Vgs,Vds,Ids,length,finger,width,Ids_coarse,alpha
106,0.2,1.5,0.0314,25.0,2.0,25.0,0.044,0.7136363636363636
107,0.225,1.5,0.075544,25.0,2.0,25.0,0.095,0.7952
108,0.25,1.5,0.178552,25.0,2.0,25.0,0.202,0.8839207920792078
109,0.275,1.5,0.4136,25.0,2.0,25.0,0.426,0.9708920187793428
110,0.3,1.5,0.92936,25.0,2.0,25.0,0.897,1.0360758082497212
111,0.325,1.5,1.98296,25.0,2.0,25.0,1.876,1.0570149253731345
112,0.35,1.5,4.004,25.0,2.0,25.0,3.885,1.0306306306306305
113,0.375,1.5,7.418,25.0,2.0,25.0,7.882,0.9411316924638418
114,0.4,1.5,12.754,25.0,2.0,25.0,14.292,0.8923873495661908
115,0.425,1.5,20.2928,25.0,2.0,25.0,22.925,0.8851821155943292
116,0.45,1.5,30.352,25.0,2.0,25.0,33.744,0.8994784257942153
117,0.475,1.5,42.424,25.0,2.0,25.0,46.623,0.9099371554812004
118,0.5,1.5,56.5,25.0,2.0,25.0,61.377,0.9205402675269238
119,0.525,1.5,72.312,25.0,2.0,25.0,77.788,0.9296035378207436
120,0.55,1.5,89.592,25.0,2.0,25.0,95.626,0.9369000062744441
121,0.575,1.5,107.936,25.0,2.0,25.0,114.657,0.9413816862468057
122,0.6,1.5,127.292,25.0,2.0,25.0,134.65,0.9453546230969179
123,0.625,1.5,147.324,25.0,2.0,25.0,155.379,0.9481590176278649
124,0.65,1.5,168.004,25.0,2.0,25.0,176.625,0.9511903750884642
125,0.675,1.5,188.924,25.0,2.0,25.0,198.177,0.9533094153206477
126,0.7,1.5,210.08,25.0,2.0,25.0,219.826,0.9556649349940408
127,0.725,1.5,231.24,25.0,2.0,25.0,241.404,0.9578963066063529
128,0.75,1.5,252.4,25.0,2.0,25.0,262.88,0.9601339013998783
129,0.775,1.5,273.56,25.0,2.0,25.0,284.255,0.9623753320082321
130,0.8,1.5,294.72,25.0,2.0,25.0,305.525,0.9646346452827103
131,0.825,1.5,315.84,25.0,2.0,25.0,326.686,0.9667999240861255
132,0.85,1.5,337.04,25.0,2.0,25.0,347.729,0.9692605448495812
133,0.875,1.5,358.12,25.0,2.0,25.0,368.593,0.9715865466788571
134,0.9,1.5,378.8,25.0,2.0,25.0,388.987,0.9738114641363336
135,0.925,1.5,399.2,25.0,2.0,25.0,408.771,0.9765859124057235
136,0.95,1.5,419.04,25.0,2.0,25.0,427.865,0.9793743353627897
137,0.975,1.5,438.12,25.0,2.0,25.0,446.166,0.9819663533303749
138,1.0,1.5,456.52,25.0,2.0,25.0,463.537,0.9848620498471535
139,1.025,1.5,473.96,25.0,2.0,25.0,479.806,0.9878159089298592
140,1.05,1.5,490.32,25.0,2.0,25.0,494.783,0.9909798841108122
141,1.075,1.5,505.56,25.0,2.0,25.0,508.299,0.9946114393300007
142,1.1,1.5,519.32,25.0,2.0,25.0,520.263,0.9981874551909323
143,1.125,1.5,531.6,25.0,2.0,25.0,530.69,1.0017147487233602
144,1.15,1.5,542.32,25.0,2.0,25.0,539.691,1.004871305988056
145,1.175,1.5,551.28,25.0,2.0,25.0,547.44,1.0070144673388863
146,1.2,1.5,558.4,25.0,2.0,25.0,554.126,1.0077130472130886
147,5.551115123e-17,2.0,4.0628e-05,25.0,2.0,25.0,0.000147665,0.27513628821995734
148,0.025,2.0,8.14e-05,25.0,2.0,25.0,0.0003101802,0.26242809824740587
149,0.05,2.0,0.000186664,25.0,2.0,25.0,0.0006515534000000001,0.2864907158799263
150,0.075,2.0,0.00045052,25.0,2.0,25.0,0.0013686244,0.3291772381085709
151,0.1,2.0,0.00109012,25.0,2.0,25.0,0.002874852,0.379191694041989
152,0.125,2.0,0.0026348,25.0,2.0,25.0,0.0060386500000000004,0.43632268801801727
153,0.15,2.0,0.0064032,25.0,2.0,25.0,0.01,0.64032
154,0.175,2.0,0.015416,25.0,2.0,25.0,0.024,0.6423333333333333
155,0.2,2.0,0.03728,25.0,2.0,25.0,0.054,0.6903703703703704
156,0.225,2.0,0.08862,25.0,2.0,25.0,0.115,0.7706086956521739
157,0.25,2.0,0.209,25.0,2.0,25.0,0.244,0.8565573770491803
158,0.275,2.0,0.48256,25.0,2.0,25.0,0.514,0.9388326848249027
159,0.3,2.0,1.06472,25.0,2.0,25.0,1.077,0.9885979572887652
160,0.325,2.0,2.24748,25.0,2.0,25.0,2.24,1.0033392857142855
161,0.35,2.0,4.4492,25.0,2.0,25.0,4.605,0.9661672095548317
162,0.375,2.0,8.1772,25.0,2.0,25.0,9.196,0.8892127011744236
163,0.4,2.0,13.8868,25.0,2.0,25.0,16.171,0.8587471399418712
164,0.425,2.0,21.862,25.0,2.0,25.0,25.392,0.8609798361688721
165,0.45,2.0,32.392,25.0,2.0,25.0,36.795,0.8803370023100965
166,0.475,2.0,44.932,25.0,2.0,25.0,50.231,0.8945073759232347
167,0.5,2.0,59.476,25.0,2.0,25.0,65.502,0.9080028090745321
168,0.525,2.0,75.712,25.0,2.0,25.0,82.379,0.9190691802522487
169,0.55,2.0,93.484,25.0,2.0,25.0,100.627,0.9290150754767607
170,0.575,2.0,112.204,25.0,2.0,25.0,120.009,0.9349632110925014
171,0.6,2.0,131.968,25.0,2.0,25.0,140.29,0.940680019958657
172,0.625,2.0,152.42,25.0,2.0,25.0,161.248,0.9452520341337567
173,0.65,2.0,173.388,25.0,2.0,25.0,182.663,0.9492234333170921
174,0.675,2.0,194.532,25.0,2.0,25.0,204.324,0.9520761144065308
175,0.7,2.0,215.844,25.0,2.0,25.0,226.027,0.9549478602113907
176,0.725,2.0,237.04,25.0,2.0,25.0,247.615,0.9572925711285665
177,0.75,2.0,258.2,25.0,2.0,25.0,269.065,0.9596194228160482
178,0.775,2.0,279.16,25.0,2.0,25.0,290.377,0.9613709074754544
179,0.8,2.0,299.96,25.0,2.0,25.0,311.549,0.9628019990434892
180,0.825,2.0,320.52,25.0,2.0,25.0,332.574,0.9637554348806581
181,0.85,2.0,341.08,25.0,2.0,25.0,353.442,0.9650239643279519
182,0.875,2.0,361.44,25.0,2.0,25.0,374.101,0.9661561984597742
183,0.9,2.0,381.44,25.0,2.0,25.0,394.264,0.9674735710082584
184,0.925,2.0,401.2,25.0,2.0,25.0,413.763,0.9696372077735322
185,0.95,2.0,420.44,25.0,2.0,25.0,432.505,0.9721043687356216
186,0.975,2.0,438.92,25.0,2.0,25.0,450.373,0.9745699675602224
187,1.0,2.0,456.64,25.0,2.0,25.0,467.21,0.9773763404036728
188,1.025,2.0,473.48,25.0,2.0,25.0,482.832,0.9806309440964974
189,1.05,2.0,489.16,25.0,2.0,25.0,497.053,0.9841204056710251
190,1.075,2.0,503.64,25.0,2.0,25.0,509.739,0.9880350532331252
191,1.1,2.0,516.68,25.0,2.0,25.0,520.849,0.9919957607675159
192,1.125,2.0,528.2,25.0,2.0,25.0,530.456,0.9957470553636871
193,1.15,2.0,538.08,25.0,2.0,25.0,538.711,0.9988286855104128
194,1.175,2.0,546.2,25.0,2.0,25.0,545.807,1.0007200347375538
195,1.2,2.0,552.48,25.0,2.0,25.0,551.933,1.0009910623209701
196,5.551115123e-17,2.5,3.9492e-05,25.0,2.0,25.0,0.00018483538,0.21366039337274065
197,0.025,2.5,0.000134068,25.0,2.0,25.0,0.00038691180000000004,0.34650791213914894
198,0.05,2.5,0.00024932,25.0,2.0,25.0,0.000809912,0.30783591303746577
199,0.075,2.5,0.00053012,25.0,2.0,25.0,0.0016953598,0.3126887873594738
200,0.1,2.5,0.00127984,25.0,2.0,25.0,0.003548804,0.36063980991906003
201,0.125,2.5,0.0031256,25.0,2.0,25.0,0.007428378,0.42076480222196555
202,0.15,2.5,0.0075628,25.0,2.0,25.0,0.013,0.5817538461538462
203,0.175,2.5,0.0181352,25.0,2.0,25.0,0.03,0.6045066666666667
204,0.2,2.5,0.043384,25.0,2.0,25.0,0.066,0.6573333333333333
205,0.225,2.5,0.10304,25.0,2.0,25.0,0.14,0.736
206,0.25,2.5,0.24096,25.0,2.0,25.0,0.296,0.8140540540540541
207,0.275,2.5,0.5482,25.0,2.0,25.0,0.619,0.88562197092084
208,0.3,2.5,1.2046,25.0,2.0,25.0,1.291,0.9330751355538343
209,0.325,2.5,2.5244,25.0,2.0,25.0,2.669,0.9458224053952791
210,0.35,2.5,4.9288,25.0,2.0,25.0,5.448,0.9046989720998531
211,0.375,2.5,8.9648,25.0,2.0,25.0,10.649,0.8418443046295427
212,0.4,2.5,15.0696,25.0,2.0,25.0,18.2,0.828
213,0.425,2.5,23.54,25.0,2.0,25.0,28.012,0.840354133942596
214,0.45,2.5,34.456,25.0,2.0,25.0,39.993,0.8615507713849924
215,0.475,2.5,47.696,25.0,2.0,25.0,53.973,0.8837011098141663
216,0.5,2.5,62.884,25.0,2.0,25.0,69.741,0.90167906970075
217,0.525,2.5,79.864,25.0,2.0,25.0,87.061,0.9173338234111714
218,0.55,2.5,98.192,25.0,2.0,25.0,105.691,0.9290478848719379
219,0.575,2.5,117.484,25.0,2.0,25.0,125.391,0.9369412477769536
220,0.6,2.5,137.64,25.0,2.0,25.0,145.929,0.9431984047036571
221,0.625,2.5,158.328,25.0,2.0,25.0,167.079,0.9476235792648986
222,0.65,2.5,179.424,25.0,2.0,25.0,188.626,0.9512156330516471
223,0.675,2.5,200.636,25.0,2.0,25.0,210.359,0.9537790158728648
224,0.7,2.5,221.92,25.0,2.0,25.0,232.076,0.9562384736034747
225,0.725,2.5,243.0,25.0,2.0,25.0,253.634,0.9580734444120268
226,0.75,2.5,264.0,25.0,2.0,25.0,275.018,0.9599371677490202
227,0.775,2.5,284.8,25.0,2.0,25.0,296.228,0.9614216076805704
228,0.8,2.5,305.32,25.0,2.0,25.0,317.261,0.9623622191192739
229,0.825,2.5,325.6,25.0,2.0,25.0,338.111,0.9629973588555238
230,0.85,2.5,345.68,25.0,2.0,25.0,358.764,0.9635303430667514
231,0.875,2.5,365.44,25.0,2.0,25.0,379.175,0.9637766202940594
232,0.9,2.5,384.8,25.0,2.0,25.0,399.067,0.9642491110515277
233,0.925,2.5,403.72,25.0,2.0,25.0,418.246,0.9652692434595909
234,0.95,2.5,422.12,25.0,2.0,25.0,436.607,0.9668191302475682
235,0.975,2.5,439.76,25.0,2.0,25.0,454.02,0.9685916919959473
236,1.0,2.5,456.64,25.0,2.0,25.0,470.319,0.9709154850218681
237,1.025,2.5,472.6,25.0,2.0,25.0,485.317,0.9737965082616105
238,1.05,2.5,487.44,25.0,2.0,25.0,498.842,0.9771430633346831
239,1.075,2.5,501.04,25.0,2.0,25.0,510.794,0.9809042392823722
240,1.1,2.5,513.28,25.0,2.0,25.0,521.183,0.9848364202209204
241,1.125,2.5,523.84,25.0,2.0,25.0,530.12,0.9881536255942052
242,1.15,2.5,532.88,25.0,2.0,25.0,537.78,0.9908884674030273
243,1.175,2.5,540.16,25.0,2.0,25.0,544.361,0.9922826947558697
244,1.2,2.5,545.64,25.0,2.0,25.0,550.049,0.9919843504851387
245,5.551115123e-17,3.0,8.7912e-05,25.0,2.0,25.0,0.000231162,0.38030472136423804
246,0.025,3.0,0.000159256,25.0,2.0,25.0,0.000482207,0.33026480328987345
247,0.05,3.0,0.00029456,25.0,2.0,25.0,0.0010058874,0.292835957583324
248,0.075,3.0,0.00064292,25.0,2.0,25.0,0.002098278,0.306403631930564
249,0.1,3.0,0.00154488,25.0,2.0,25.0,0.004376952,0.3529579488191783
250,0.125,3.0,0.003688,25.0,2.0,25.0,0.007,0.5268571428571428
251,0.15,3.0,0.0088904,25.0,2.0,25.0,0.017,0.5229647058823529
252,0.175,3.0,0.0212128,25.0,2.0,25.0,0.038,0.5582315789473684
253,0.2,3.0,0.050476,25.0,2.0,25.0,0.081,0.6231604938271604
254,0.225,3.0,0.118744,25.0,2.0,25.0,0.17,0.6984941176470588
255,0.25,3.0,0.27712,25.0,2.0,25.0,0.357,0.7762464985994397
256,0.275,3.0,0.62704,25.0,2.0,25.0,0.745,0.8416644295302014
257,0.3,3.0,1.37328,25.0,2.0,25.0,1.545,0.888854368932039
258,0.325,3.0,2.848,25.0,2.0,25.0,3.176,0.8967254408060452
259,0.35,3.0,5.5108,25.0,2.0,25.0,6.431,0.8569118333074172
260,0.375,3.0,9.9436,25.0,2.0,25.0,12.247,0.8119212868457582
261,0.4,3.0,16.5816,25.0,2.0,25.0,20.384,0.8134615384615386
262,0.425,3.0,25.68,25.0,2.0,25.0,30.786,0.8341453907620346
263,0.45,3.0,37.304,25.0,2.0,25.0,43.335,0.8608284296757818
264,0.475,3.0,51.208,25.0,2.0,25.0,57.845,0.8852623390094218
265,0.5,3.0,67.0,25.0,2.0,25.0,74.089,0.9043177799673366
266,0.525,3.0,84.444,25.0,2.0,25.0,91.826,0.9196088253871454
267,0.55,3.0,103.144,25.0,2.0,25.0,110.809,0.9308269183911055
268,0.575,3.0,122.676,25.0,2.0,25.0,130.797,0.937911419986697
269,0.6,3.0,143.0,25.0,2.0,25.0,151.557,0.9435393944192615
270,0.625,3.0,163.76,25.0,2.0,25.0,172.865,0.9473288404246087
271,0.65,3.0,184.868,25.0,2.0,25.0,194.505,0.9504537158427804
272,0.675,3.0,206.068,25.0,2.0,25.0,216.271,0.9528230784524973
273,0.7,3.0,227.272,25.0,2.0,25.0,237.962,0.955076861011422
274,0.725,3.0,248.24,25.0,2.0,25.0,259.452,0.95678584092626
275,0.75,3.0,269.16,25.0,2.0,25.0,280.732,0.9587791915421113
276,0.775,3.0,289.72,25.0,2.0,25.0,301.802,0.9599671307678544
277,0.8,3.0,310.08,25.0,2.0,25.0,322.658,0.9610175479919915
278,0.825,3.0,330.0,25.0,2.0,25.0,343.293,0.961277975373806
279,0.85,3.0,349.76,25.0,2.0,25.0,363.693,0.9616902167487414
280,0.875,3.0,369.08,25.0,2.0,25.0,383.819,0.9615990870696864
281,0.9,3.0,388.0,25.0,2.0,25.0,403.401,0.9618221075307201
282,0.925,3.0,406.36,25.0,2.0,25.0,422.225,0.962425247202321
283,0.95,3.0,424.16,25.0,2.0,25.0,440.176,0.9636145541783288
284,0.975,3.0,441.08,25.0,2.0,25.0,457.114,0.9649234107903062
285,1.0,3.0,457.08,25.0,2.0,25.0,472.869,0.9666102028257296
286,1.025,3.0,472.16,25.0,2.0,25.0,487.255,0.969020328164924
287,1.05,3.0,486.0,25.0,2.0,25.0,500.122,0.9717628898548754
288,1.075,3.0,498.6,25.0,2.0,25.0,511.407,0.9749573236189572
289,1.1,3.0,509.8,25.0,2.0,25.0,521.157,0.9782081023568713
290,1.125,3.0,519.48,25.0,2.0,25.0,529.513,0.9810524009797682
291,1.15,3.0,527.48,25.0,2.0,25.0,536.664,0.9828868714875603
292,1.175,3.0,533.84,25.0,2.0,25.0,542.809,0.9834766925382594
293,1.2,3.0,538.52,25.0,2.0,25.0,548.126,0.9824748324290401
294,5.551115123e-17,3.5,5.4972e-05,25.0,2.0,25.0,0.0002888636,0.19030435125782552
295,0.025,3.5,0.000139148,25.0,2.0,25.0,0.000600482,0.23172717916606994
296,0.05,3.5,0.0003426,25.0,2.0,25.0,0.0012482622,0.274461567449531
297,0.075,3.5,0.00078,25.0,2.0,25.0,0.0025948300000000002,0.30059772701872567
298,0.1,3.5,0.00184364,25.0,2.0,25.0,0.005393938,0.3417985152962455
299,0.125,3.5,0.0043708,25.0,2.0,25.0,0.0112122,0.38982536879470575
300,0.15,3.5,0.0104356,25.0,2.0,25.0,0.021,0.4969333333333333
301,0.175,3.5,0.024788,25.0,2.0,25.0,0.046,0.5388695652173914
302,0.2,3.5,0.05884,25.0,2.0,25.0,0.098,0.6004081632653061
303,0.225,3.5,0.138512,25.0,2.0,25.0,0.207,0.6691400966183575
304,0.25,3.5,0.3222,25.0,2.0,25.0,0.431,0.7475638051044083
305,0.275,3.5,0.7264,25.0,2.0,25.0,0.895,0.8116201117318436
306,0.3,3.5,1.5844,25.0,2.0,25.0,1.847,0.8578234975636168
307,0.325,3.5,3.2784,25.0,2.0,25.0,3.773,0.8689106811555791
308,0.35,3.5,6.2888,25.0,2.0,25.0,7.574,0.8303142329020333
309,0.375,3.5,11.2096,25.0,2.0,25.0,13.995,0.8009717756341551
310,0.4,3.5,18.4544,25.0,2.0,25.0,22.724,0.8121105439183243
311,0.425,3.5,28.204,25.0,2.0,25.0,33.713,0.8365912259365823
312,0.45,3.5,40.432,25.0,2.0,25.0,46.82,0.863562580093977
313,0.475,3.5,54.884,25.0,2.0,25.0,61.841,0.8875018191814492
314,0.5,3.5,71.14,25.0,2.0,25.0,78.539,0.9057920268910987
315,0.525,3.5,88.932,25.0,2.0,25.0,96.666,0.9199925516727702
316,0.55,3.5,107.916,25.0,2.0,25.0,115.972,0.9305349567136896
317,0.575,3.5,127.66,25.0,2.0,25.0,136.216,0.9371879955365008
318,0.6,3.5,148.112,25.0,2.0,25.0,157.164,0.9424041129011733
319,0.625,3.5,169.004,25.0,2.0,25.0,178.593,0.9463080859832133
320,0.65,3.5,190.192,25.0,2.0,25.0,200.291,0.949578363481135
321,0.675,3.5,211.444,25.0,2.0,25.0,222.052,0.9522274061931439
322,0.7,3.5,232.64,25.0,2.0,25.0,243.679,0.9546985993868983
323,0.725,3.5,253.72,25.0,2.0,25.0,265.064,0.9572027887604502
324,0.75,3.5,274.64,25.0,2.0,25.0,286.202,0.9596019594552099
325,0.775,3.5,295.24,25.0,2.0,25.0,307.093,0.961402571859339
326,0.8,3.5,315.48,25.0,2.0,25.0,327.735,0.9626069843013411
327,0.825,3.5,335.24,25.0,2.0,25.0,348.12,0.9630012639319775
328,0.85,3.5,354.64,25.0,2.0,25.0,368.232,0.9630884876925415
329,0.875,3.5,373.48,25.0,2.0,25.0,388.035,0.9624904969912508
330,0.9,3.5,391.84,25.0,2.0,25.0,407.273,0.9621064985893981
331,0.925,3.5,409.64,25.0,2.0,25.0,425.71,0.9622512978318574
332,0.95,3.5,426.72,25.0,2.0,25.0,443.222,0.9627680936415612
333,0.975,3.5,443.0,25.0,2.0,25.0,459.666,0.9637432396566202
334,1.0,3.5,458.36,25.0,2.0,25.0,474.867,0.9652386878852395
335,1.025,3.5,472.56,25.0,2.0,25.0,488.649,0.9670745258866794
336,1.05,3.5,485.52,25.0,2.0,25.0,500.886,0.9693223607767036
337,1.075,3.5,497.16,25.0,2.0,25.0,511.547,0.9718755070404088
338,1.1,3.5,507.28,25.0,2.0,25.0,520.714,0.9742008088893326
339,1.125,3.5,515.88,25.0,2.0,25.0,528.549,0.9760306045418684
340,1.15,3.5,522.92,25.0,2.0,25.0,535.247,0.9769695112723659
341,1.175,3.5,528.32,25.0,2.0,25.0,541.005,0.9765528969233187
342,1.2,3.5,532.04,25.0,2.0,25.0,545.992,0.9744465120368064
343,5.551115123e-17,4.0,0.00012192,25.0,2.0,25.0,0.00036068959999999996,0.33801917216354455
344,0.025,4.0,0.0002116,25.0,2.0,25.0,0.0007471898,0.28319444403550476
345,0.05,4.0,0.00042108,25.0,2.0,25.0,0.0015478418000000002,0.2720433057176773
346,0.075,4.0,0.00097168,25.0,2.0,25.0,0.003206408,0.3030431560799499
347,0.1,4.0,0.0022536,25.0,2.0,25.0,0.006642072,0.3392917149949594
